State Date       Time   Providers Details
NC    2022-03-30 09-27  -1        ['NC,Greensboro,27405,Tapm Pediatrics At Wendover']
NC    2022-03-31 08-53  +47       ['NC,Archdale,27263,Walmart Pharmacy #7206', 'NC,Biscoe,27209,Walmart Pharmacy #2908', 'NC,Black Mountain,28711,Cvs Store #03860', 'NC,Cary,27518,Cvs Store #00317', 'NC,Charlotte,28205,Walmart Pharmacy #1666', 'NC,Charlotte,28208,Walmart Pharmacy #3371', 'NC,Charlotte,28211,Randolph Medical Pharmacy', 'NC,Charlotte,28215,Kintegra At Posp Pharmacy', 'NC,Charlotte,28262,Walgreens Store #06480', 'NC,Concord,28027,Walgreens Store #04870', 'NC,Denton,27239,Cvs Store #07328', 'NC,Durham,27704,Walmart Pharmacy #1614', 'NC,Fayetteville,28304,Walmart Pharmacy #3600', 'NC,Fayetteville,28311,Walmart Pharmacy #1261', 'NC,Fayetteville,28314,Walmart Pharmacy #3411', 'NC,Gastonia,28052,Kintegra Adult And Ped Med Xray Dr', 'NC,Gastonia,28052,Kintegra Family Med Highland Rx', 'NC,Gastonia,28054,Kintegra Adult Peds Med Xray Rx', 'NC,Gastonia,28054,Kintegra At Stlc Pharmacy', 'NC,Goldsboro,27534,Sams Pharmacy #6443', 'NC,Greensboro,27412,Gove Student Health Center Uncg', 'NC,Hendersonville,28792,Sams Pharmacy #4950', 'NC,Hendersonville,28792,Walmart Pharmacy #1242', 'NC,Hickory,28601,Dlp Frye Regional Medical Center Ll', 'NC,Hickory,28601,Walmart Pharmacy #3504', 'NC,Hickory,28602,Cooperative Christian Ministry Rx', 'NC,Hickory,28602,Sams Pharmacy #6355', 'NC,Hickory,28602,Walmart Pharmacy #7315', 'NC,Hickory,28602,Walmart Pharmacy #948', 'NC,Kill Devil Hills,27948,Cvs Store #07361', 'NC,Lexington,27292,Kintegra Family Med Lexington Rx', 'NC,Lincolnton,28092,Kintegra Family Med Lincolnton Rx', 'NC,Lumberton,28358,Walmart Pharmacy #1155', 'NC,Matthews,28104,Cvs Store #01737', 'NC,Matthews,28104,Cvs Store #02877', 'NC,Mount Airy,27030,Walmart Pharmacy #1039', 'NC,Raleigh,27614,Cvs Store #06988', 'NC,Salisbury,28146,Cvs Store #03592', 'NC,Siler City,27344,Walmart Pharmacy #2845', 'NC,Simpson,27879,Pharmerica', 'NC,Statesville,28625,Walmart Pharmacy #1662', 'NC,Statesville,28677,Kintegra Family Med Statesville Rx', 'NC,Thomasville,27360,Walmart Pharmacy #3503', 'NC,Waxhaw,28173,Cvs Store #07943', 'NC,Wilmington,28403,Cvs Store #03822', 'NC,Winston Salem,27103,Walgreens Store #07397', 'NC,Winston-Salem,27105,Cvs Store #16457']
NC    2022-03-31 08-53  -5        ['NC,Charlotte,28205,Polaris Pharmacy Services Of Nc', 'NC,Creedmoor,27522,Cvs Store #01246', 'NC,Durham,27713,Walgreens Store #07317', 'NC,Fayetteville,28301,Cvs Store #07540', 'NC,Murfreesboro,27855,Cvs Store #07324']
NC    2022-04-01 06-54  +9        ['NC,Charlotte,28216,Walmart Pharmacy #5481', 'NC,Elkin,28621,Walmart Pharmacy #1337', 'NC,Laurinburg,28352,Walmart Pharmacy #1255', 'NC,Mocksville,27028,Walmart Pharmacy #1096', 'NC,New Bern,28562,Cvs Store #05597', 'NC,Pineville,28134,Sams Pharmacy #6348', 'NC,Raleigh,27695,Nc State University Student Health', 'NC,Robbinsville,28771,Tallulah Pharmacy', 'NC,Winston Salem,27105,Walmart Pharmacy #1849']
NC    2022-04-02 06-05  +5        ['NC,Arden,28704,Ingles Pharmacy 137', 'NC,Charlotte,28205,Polaris Pharmacy Services Of Nc', 'NC,Sanford,27330,Walgreens Store #07479', 'NC,Snow Hill,28580,Walgreens Store #21340', 'NC,Zebulon,27597,Walmart Pharmacy #4499']
NC    2022-04-02 06-05  -2        ['NC,Jacksonville,28546,Cvs Store #05585', 'NC,Salisbury,28146,Cvs Store #03592']
NC    2022-04-03 05-51  +1        ['NC,Durham,27710,Duke Childrens Outpatient Pharmacy']
NC    2022-04-04 05-38  -1        ['NC,Durham,27710,Duke Childrens Outpatient Pharmacy']
NC    2022-04-05 05-48  +11       ['NC,Asheville,28803,Lifeway Health', 'NC,Benson,27504,Eastern Carolina Med Ctr Pharm', 'NC,Black Mountain,28711,Healthridge Pharmacy', 'NC,Camp Lejeune,28547,Nmc Camp Lejeune Nc', 'NC,Cary,27519,White Dove Pharmacy', 'NC,Charlotte,28203,Walgreens Store #17250', 'NC,Conover,28613,Five Points Pharma Med Village Phcy', 'NC,Greensboro,27401,Moses Cone Memorial Hospital', 'NC,Hillsborough,27278,Hillsborough Pharmacy', 'NC,Raeford,28376,Karen L Smith Md Pa', 'NC,Raleigh,27608,Hayes Barton Pharmacy']
NC    2022-04-05 05-48  -3        ['NC,Hickory,28601,Walgreens Store #07646', 'NC,Rolesville,27571,Cvs Store #03918', 'NC,Sanford,27330,Walgreens Store #07479']
NC    2022-04-06 05-45  +30       ['NC,Arden,28704,Cvs Store #17106', 'NC,Asheville,28805,Cvs Store #16930', 'NC,Burlington,27215,Cvs Store #17130', 'NC,Chapel Hill,27514,Cvs Store #10277', 'NC,Chapel Hill,27516,Cvs Store #17702', 'NC,Charlotte,28202,Cvs Store #11441', 'NC,Charlotte,28203,Cvs Store #03185', 'NC,Charlotte,28204,Cvs Store #17319', 'NC,Charlotte,28205,Cvs Store #05583', 'NC,Charlotte,28273,Cvs Store #16235', 'NC,Creedmoor,27522,Cvs Store #01246', 'NC,Fayetteville,28301,Cvs Store #07540', 'NC,Garner,27529,Cvs Store #16478', 'NC,Greensboro,27403,Cvs Store #04431', 'NC,Greensboro,27407,Cvs Store #16458', 'NC,Greensboro,27408,Cvs Store #16538', 'NC,Holly Springs,27540,Cvs Store #17636', 'NC,Jacksonville,28546,Cvs Store #16581', 'NC,Knightdale,27545,Cvs Store #17196', 'NC,Mills River,28759,Cvs Store #04467', 'NC,New Bern,28562,Cvs Store #16404', 'NC,New Bern,28562,Realo Drugs Craven', 'NC,Newport,28570,Cvs Store #11348', 'NC,Richfield,28137,Cvs Store #07696', 'NC,Rocky Mount,27804,Cvs Store #16371', 'NC,Spruce Pine,28777,Cvs Store #07574', 'NC,Walkertown,27051,Cvs Store #01218', 'NC,Wilson,27896,Cvs Store #17248', 'NC,Wingate,28174,Wingate University Health Center', 'NC,Winston-Salem,27103,Cvs Store #03511']
NC    2022-04-06 05-45  -1        ['NC,High Point,27265,Nolans Family Pharmacy']
NC    2022-04-07 05-34  +51       ['NC,Ahoskie,27910,Walmart Pharmacy #1950', 'NC,Beulaville,28518,Walgreens Store #11893', 'NC,Charlotte,28215,Cvs Store #07407', 'NC,Conover,28613,Walmart Pharmacy #4224', 'NC,Dallas,28034,Walmart Pharmacy #7004', 'NC,Edenton,27932,Walgreens Store #13465', 'NC,Elizabeth City,27909,Walmart Pharmacy #1527', 'NC,Fayetteville,28306,Walmart Pharmacy #6879', 'NC,Garner,27529,Cvs Store #16945', 'NC,Goldsboro,27534,Walmart Pharmacy #7340', 'NC,Grantsboro,28529,Walmart Pharmacy #7238', 'NC,Greensboro,27406,Walmart Pharmacy #5320', 'NC,Greensboro,27410,Cvs Store #17193', 'NC,Greenville,27834,Walgreens Store #06579', 'NC,Greenville,27834,Walmart Pharmacy #7222', 'NC,Henderson,27536,Walgreens Store #19096', 'NC,Hope Mills,28348,Walmart Pharmacy #2929', 'NC,Kernersville,27284,Cvs Store #17217', 'NC,King,27021,Walmart Pharmacy #6789', 'NC,Kinston,28504,Walgreens Store #15511', 'NC,Liberty,27298,Cvs Store #05377', 'NC,Lincolnton,28092,Walmart Pharmacy #1209', 'NC,Matthews,28105,Cvs Store #16342', 'NC,Maxton,28364,Walgreens Store #13960', 'NC,Morehead City,28557,Cvs Store #11347', 'NC,Mount Olive,28365,Walmart Pharmacy #3701', 'NC,Murfreesboro,27855,Cvs Store #07324', 'NC,Newton,28658,Walmart Pharmacy #4432', 'NC,Oxford,27565,Walmart Pharmacy #1579', 'NC,Raleigh,27610,Walmart Pharmacy #5292', 'NC,Randleman,27317,Walmart Pharmacy #2704', 'NC,Rockingham,28379,Walmart Pharmacy #1010', 'NC,Rocky Mount,27804,Walmart Pharmacy #1197', 'NC,Roxboro,27573,Walmart Pharmacy #1288', 'NC,Saint Pauls,28384,Walmart Pharmacy #7329', 'NC,Sanford,27330,Central Carolina Hospital', 'NC,Sanford,27332,Walmart Pharmacy #1774', 'NC,Shallotte,28470,Walmart Pharmacy #1767', 'NC,Spring Lake,28390,Walmart Pharmacy #1312', 'NC,Swansboro,28584,Cvs Store #11349', 'NC,Tabor City,28463,Walgreens Store #16172', 'NC,Washington,27889,Walmart Pharmacy #1354', 'NC,Williamston,27892,Walgreens Store #17331', 'NC,Wilmington,28403,Walgreens Store #06951', 'NC,Wilson,27893,Walgreens Store #19254', 'NC,Winston Salem,27127,Walmart Pharmacy #3626', 'NC,Winston Salem,27157,Bermuda Run Pharmacy', 'NC,Winston Salem,27157,Downtown Health Plaza Retail Rx', 'NC,Winston Salem,27157,High Point Regional Retail Pharmacy', 'NC,Winston Salem,27157,North Tower Pharmacy', 'NC,Winston Salem,27157,Piedmont Plaza Pharmacy']
NC    2022-04-07 05-34  -1        ['NC,High Point,27262,Cvs Store #05757']
NC    2022-04-08 05-48  +48       ['NC,Aberdeen,28315,Walmart Pharmacy #1097', 'NC,Apex,27502,Walmart Pharmacy #3889', 'NC,Asheville,28803,Walmart Pharmacy #4428', 'NC,Asheville,28805,Walmart Pharmacy #1317', 'NC,Asheville,28806,Sams Pharmacy #6452', 'NC,Burlington,27215,Walmart Pharmacy #1287', 'NC,Chapel Hill,27517,Walmart Pharmacy #3182', 'NC,Charlotte,28262,Sams Pharmacy #6540', 'NC,Charlotte,28273,Walmart Pharmacy #1464', 'NC,Clemmons,27012,Walmart Pharmacy #6243', 'NC,Concord,28027,Walmart Pharmacy #1027', 'NC,Durham,27707,Sams Pharmacy #4831', 'NC,Fayetteville,28303,Walmart Pharmacy #1238', 'NC,Franklin,28734,Walmart Pharmacy #1217', 'NC,Greensboro,27407,Walmart Pharmacy #1842', 'NC,Greensboro,27407,Walmart Pharmacy #5014', 'NC,Greenville,27858,Walmart Pharmacy #5851', 'NC,Greenville,27858,Walmart Pharmacy #7337', 'NC,High Point,27263,Walmart Pharmacy #1613', 'NC,High Point,27265,Walmart Pharmacy #4477', 'NC,High Point,27265,Walmart Pharmacy #5013', 'NC,Hillsborough,27278,Walmart Pharmacy #1191', 'NC,Hope Mills,28348,Walmart Pharmacy #3456', 'NC,Jacksonville,28546,Walmart Pharmacy #1298', 'NC,Jacksonville,28546,Walmart Pharmacy #7137', 'NC,Kernersville,27284,Walmart Pharmacy #6828', 'NC,Knightdale,27545,Walmart Pharmacy #1816', 'NC,Matthews,28105,Sams Pharmacy #8219', 'NC,Mebane,27302,Walmart Pharmacy #5346', 'NC,Mooresville,28117,Sams Pharmacy #4917', 'NC,Morganton,28655,Walmart Pharmacy #7304', 'NC,Morrisville,27560,Walmart Pharmacy #4250', 'NC,Raleigh,27603,Sams Pharmacy #8223', 'NC,Raleigh,27603,Walmart Pharmacy #1372', 'NC,Raleigh,27609,Walmart Pharmacy #2058', 'NC,Raleigh,27612,Walmart Pharmacy #1751', 'NC,Raleigh,27616,Walmart Pharmacy #4484', 'NC,Spruce Pine,28777,Walmart Pharmacy #2749', 'NC,Swansboro,28584,Walmart Pharmacy #7179', 'NC,Sylva,28779,Walmart Pharmacy #2440', 'NC,Wake Forest,27587,Walmart Pharmacy #5254', 'NC,Weaverville,28787,Walmart Pharmacy #4334', 'NC,Wilmington,28403,Sams Pharmacy #8129', 'NC,Wilmington,28412,Walmart Pharmacy #1348', 'NC,Winston Salem,27103,Walmart Pharmacy #6264', 'NC,Winston Salem,27104,Walmart Pharmacy #6814', 'NC,Winterville,28590,Sams Pharmacy #6216', 'NC,Winterville,28590,Walmart Pharmacy #7235']
NC    2022-04-08 05-48  -3        ['NC,Morehead City,28557,Cvs Store #04390', 'NC,Nebo,28761,Mcdowell Community Pharmacy', 'NC,Smithfield,27577,Cvs Store #07580']
NC    2022-04-09 05-41  +14       ['NC,Ahoskie,27910,Walgreens Store #15251', 'NC,Boone,28607,Walmart Pharmacy #2496', 'NC,Charlotte,28226,Walmart Pharmacy #1452', 'NC,Concord,28027,Walmart Pharmacy #4574', 'NC,Erwin,28339,Walmart Pharmacy #1237', 'NC,Fairmont,28340,Walgreens Store #16161', 'NC,Greensboro,27407,Sams Pharmacy #6402', 'NC,Greensboro,27407,Walgreens Store #19045', 'NC,Laurinburg,28352,Walgreens Store #15648', 'NC,Lumberton,28358,Walgreens Store #01056', 'NC,Plymouth,27962,Walgreens Store #16130', 'NC,Raleigh,27612,Raleigh Adult Medicine', 'NC,West Jefferson,28694,Walmart Pharmacy #3289', 'NC,Wilmington,28403,Walmart Pharmacy #1392']
NC    2022-04-09 05-41  -3        ['NC,Roanoke Rapids,27870,Cvs Store #03387', 'NC,Wilmington,28403,Cvs Store #04846', 'NC,Winston Salem,27157,Downtown Health Plaza Retail Rx']
NC    2022-04-10 09-31  +2        ['NC,Durham,27710,Duke Childrens Outpatient Pharmacy', 'NC,Winston Salem,27157,Downtown Health Plaza Retail Rx']
NC    2022-04-10 09-31  -9        ['NC,Cary,27511,Adhererx Pharmacy North Carolina', 'NC,China Grove,28023,Price Pharmacy Inc', 'NC,Concord,28027,Truecare Pharmacy', 'NC,Garner,27529,White Oak Pharmacy Llc', 'NC,Plymouth,27962,Washington Regional Medical Center', 'NC,Raeford,28376,Karen L Smith Md Pa', 'NC,Raleigh,27615,Greystone Village Pharmacy', 'NC,Saint Pauls,28384,Brisson Drugs', 'NC,Spruce Pine,28777,Mission Pharmacy-Blue Ridge']
NC    2022-04-11 07-06  -2        ['NC,Camp Lejeune,28547,Nmc Camp Lejeune Nc', 'NC,Durham,27710,Duke Childrens Outpatient Pharmacy']
NC    2022-04-12 07-06  +9        ['NC,Cameron,28326,Walmart Pharmacy #6958', 'NC,Cary,27513,Walmart Pharmacy #2414', 'NC,Cary,27518,Walgreens Store #09757', 'NC,Cary,27519,Walmart Pharmacy #4157', 'NC,Gastonia,28054,Walgreens Store #07859', 'NC,Hudson,28638,Walmart Pharmacy #7296', 'NC,Kernersville,27284,Walmart Pharmacy #2793', 'NC,Rocky Mount,27804,Sams Pharmacy #4946', 'NC,Wilmington,28403,Cvs Store #04846']
NC    2022-04-12 07-06  -10       ['NC,Charlotte,28273,Cvs Store #17215', 'NC,Durham,27704,Walgreens Store #16138', 'NC,Fayetteville,28304,Cape Fear Valley Medical Center', 'NC,Greenville,27834,Walgreens Store #06579', 'NC,High Point,27262,Walgreens Store #06315', 'NC,Raleigh,27609,Walgreens Store #01611', 'NC,Rocky Mount,27804,Cvs Store #03973', 'NC,Rocky Mount,27804,Rocky Mount Medical Park Pharmacy', 'NC,Star,27356,Montgomery Health Center Pharmacy', 'NC,Winston Salem,27103,Walgreens Store #07397']
NC    2022-04-13 09-20  +13       ['NC,Asheville,28803,Cvs Store #07007', 'NC,Garner,27529,Walmart Pharmacy #5743', 'NC,High Point,27262,Cvs Store #05757', 'NC,Huntersville,28078,Cvs Store #16374', 'NC,Jacksonville,28546,Cvs Store #05585', 'NC,Mooresville,28117,Cvs Store #16835', 'NC,Morehead City,28557,Cvs Store #04390', 'NC,Morrisville,27560,Cvs Store #17605', 'NC,Morrisville,27560,Walmart Pharmacy #4147', 'NC,Raleigh,27607,Cvs Store #10682', 'NC,Raleigh,27613,Cvs Store #16460', 'NC,Salisbury,28146,Cvs Store #03592', 'NC,Smithfield,27577,Cvs Store #07580']
NC    2022-04-13 09-20  -1        ['NC,Goldsboro,27534,Cvs Store #07021']
NC    2022-04-13 11-55  +3        ['NC,Arden,28704,Walmart Pharmacy #1179', 'NC,Kings Mountain,28086,Walmart Pharmacy #7146', 'NC,Mooresville,28117,Walmart Pharmacy #1156']
NC    2022-04-14 09-18  +56       ['NC,Advance,27006,Walgreens Store #10674', 'NC,Albemarle,28001,Walgreens Store #10619', 'NC,Asheboro,27203,Walgreens Store #19776', 'NC,Asheville,28801,Minnie Jones Hlth Ctr', 'NC,Asheville,28806,Walgreens Store #12779', 'NC,Black Mountain,28711,Walgreens Store #17288', 'NC,Burlington,27217,Walgreens Store #17237', 'NC,Castle Hayne,28429,Cvs Store #07350', 'NC,Charlotte,28217,Walgreens Store #17027', 'NC,Charlotte,28270,Walgreens Store #07766', 'NC,Charlotte,28277,Cvs Store #16466', 'NC,Charlotte,28277,Cvs Store #17178', 'NC,Concord,28025,Walgreens Store #07699', 'NC,Dobson,27017,Walgreens Store #16123', 'NC,Durham,27701,Walgreens Store #16152', 'NC,Durham,27705,Walgreens Store #17971', 'NC,Durham,27713,Walgreens Store #12728', 'NC,Fayetteville,28301,Walgreens Store #11691', 'NC,Fayetteville,28314,Walgreens Store #19907', 'NC,Franklin,28734,Walgreens Store #16105', 'NC,Garner,27529,Walgreens Store #11713', 'NC,Greensboro,27407,Walgreens Store #06813', 'NC,Greensboro,27408,Walgreens Store #18080', 'NC,Greensboro,27408,Walgreens Store #19152', 'NC,Greenville,27834,Walgreens Store #06579', 'NC,Hayesville,28904,Walgreens Store #16107', 'NC,Hendersonville,28791,Walgreens Store #10886', 'NC,Hickory,28601,Walgreens Store #07646', 'NC,Hickory,28602,Walgreens Store #12484', 'NC,High Point,27262,Walgreens Store #09527', 'NC,Huntersville,28078,Walgreens Store #10287', 'NC,Indian Trail,28079,Walgreens Store #07401', 'NC,Lincolnton,28092,Walgreens Store #11765', 'NC,Matthews,28105,Walgreens Store #06479', 'NC,Matthews,28105,Walgreens Store #09084', 'NC,Mint Hill,28227,Walgreens Store #04549', 'NC,Mocksville,27028,Walgreens Store #10566', 'NC,Mount Airy,27030,Walgreens Store #10086', 'NC,Nashville,27856,Walgreens Store #16164', 'NC,Pembroke,28372,Walgreens Store #16119', 'NC,Raleigh,27607,Cvs Store #17722', 'NC,Raleigh,27609,Walgreens Store #01611', 'NC,Raleigh,27617,Cvs Store #16917', 'NC,Rockingham,28379,Walgreens Store #11088', 'NC,Rocky Mount,27804,Rocky Mount Medical Park Pharmacy', 'NC,Rocky Mount,27804,Walgreens Store #07548', 'NC,Rolesville,27571,Cvs Store #03918', 'NC,Salisbury,28146,Walgreens Store #10133', 'NC,Siler City,27344,Siler City Pharmacy Llc', 'NC,Siler City,27344,Walgreens Store #11353', 'NC,Tarboro,27886,Walgreens Store #15475', 'NC,Wake Forest,27587,Walgreens Store #19980', 'NC,Wilmington,28405,Walgreens Store #11550', 'NC,Wilmington,28411,Walgreens Store #09931', 'NC,Winston Salem,27103,Walgreens Store #07397', 'NC,Zebulon,27597,Walgreens Store #12063']
NC    2022-04-14 09-18  -14       ['NC,Cape Carteret,28584,Walgreens Store #10431', 'NC,Charlotte,28215,Kintegra At Posp Pharmacy', 'NC,Eden,27288,Eden Drug Inc', 'NC,Gastonia,28052,Kintegra Adult And Ped Med Xray Dr', 'NC,Gastonia,28052,Kintegra Family Med Highland Rx', 'NC,Gastonia,28054,Kintegra Adult Peds Med Xray Rx', 'NC,Gastonia,28054,Kintegra At Stlc Pharmacy', 'NC,Hickory,28601,Dlp Frye Regional Medical Center Ll', 'NC,Hickory,28602,Cooperative Christian Ministry Rx', 'NC,Lexington,27292,Kintegra Family Med Lexington Rx', 'NC,Lincolnton,28092,Kintegra Family Med Lincolnton Rx', 'NC,Simpson,27879,Pharmerica', 'NC,Statesville,28677,Kintegra Family Med Statesville Rx', 'NC,Wilmington,28411,Walmart Pharmacy #4065']
NC    2022-04-15 06-03  +21       ['NC,Cape Carteret,28584,Walgreens Store #10431', 'NC,Cary,27518,Walmart Pharmacy #2247', 'NC,Charlotte,28214,Walgreens Store #18121', 'NC,Charlotte,28226,Walmart Pharmacy #4848', 'NC,Clemmons,27012,Walgreens Store #19937', 'NC,Durham,27704,Walgreens Store #16138', 'NC,Fayetteville,28304,Walgreens Store #07805', 'NC,Garner,27529,Walgreens Store #10085', 'NC,Greensboro,27408,Walgreens Store #12283', 'NC,Hillsborough,27278,Walgreens Store #16128', 'NC,Kings Mountain,28086,Walgreens Store #15110', 'NC,Morganton,28655,Walgreens Store #19006', 'NC,Morrisville,27560,Walgreens Store #10276', 'NC,Mount Airy,27030,Walgreens Store #16112', 'NC,Mount Holly,28120,Walgreens Store #17368', 'NC,Raleigh,27609,Walgreens Store #15474', 'NC,Raleigh,27610,Walgreens Store #09635', 'NC,Raleigh,27617,Walmart Pharmacy #5118', 'NC,Rural Hall,27045,Walgreens Store #17618', 'NC,Saint Pauls,28384,Walgreens Store #16171', 'NC,Sanford,27330,Walgreens Store #17325']
NC    2022-04-15 06-03  -4        ['NC,Charlotte,28277,Cvs Store #16466', 'NC,Durham,27713,Cvs Store #07042', 'NC,Raleigh,27608,Hayes Barton Pharmacy', 'NC,Robbinsville,28771,Tallulah Pharmacy']
NC    2022-04-16 05-33  +10       ['NC,Asheville,28805,Walgreens Store #10212', 'NC,Carolina Beach,28428,Walgreens Store #07981', 'NC,Gastonia,28056,Sams Pharmacy #6414', 'NC,Greensboro,27403,Walgreens Store #10707', 'NC,Holly Springs,27540,Walgreens Store #07505', 'NC,Jamestown,27282,Walgreens Store #15440', 'NC,Robbinsville,28771,Tallulah Pharmacy', 'NC,Statesville,28625,Walgreens Store #18115', 'NC,Sylva,28779,Walgreens Store #19160', 'NC,Wilmington,28405,Walgreens Store #07919']
NC    2022-04-16 05-33  -8        ['NC,Asheville,28805,Cvs Store #16930', 'NC,Cary,27519,Cvs Store #08417', 'NC,Charlotte,28211,Walgreens Store #01376', 'NC,Kenansville,28349,Cvs Store #07043', 'NC,Lillington,27546,Hogans Pharmacy', 'NC,Raleigh,27612,Raleigh Adult Medicine', 'NC,Roanoke Rapids,27870,Rural Hlth Group - Halifax Med Spec', 'NC,Zebulon,27597,Walgreens Store #12063']
NC    2022-04-17 05-32  +1        ['NC,Durham,27710,Duke Childrens Outpatient Pharmacy']
NC    2022-04-18 05-31  -1        ['NC,Durham,27710,Duke Childrens Outpatient Pharmacy']
NC    2022-04-19 05-39  +16       ['NC,Asheboro,27203,Walgreens Store #09730', 'NC,Carthage,28327,Walgreens Store #16136', 'NC,Cary,27511,Walgreens Store #10541', 'NC,Charlotte,28216,Walgreens Store #10275', 'NC,Charlotte,28262,Walgreens Store #11396', 'NC,Cornelius,28031,Walgreens Store #11266', 'NC,Denver,28037,Denver Pharmacy', 'NC,Denver,28037,Walmart Pharmacy #4274', 'NC,Garner,27529,Walgreens Store #15552', 'NC,Holly Springs,27540,Walmart Pharmacy #4458', 'NC,Roanoke Rapids,27870,Cvs Store #03387', 'NC,Sanford,27330,Walgreens Store #07479', 'NC,Walkertown,27051,Walgreens Store #12562', 'NC,Warrenton,27589,Walgreens Store #16150', 'NC,Winston Salem,27105,Walgreens Store #15009', 'NC,Winston Salem,27127,Walgreens Store #10090']
NC    2022-04-19 05-39  -6        ['NC,Burnsville,28714,The Prescription Pad Of Burnsville', 'NC,Charlotte,28203,Walgreens Store #17250', 'NC,Durham,27712,Cvs Store #04290', 'NC,Fayetteville,28301,Walgreens Store #06547', 'NC,Fuquay Varina,27526,Walgreens Store #07170', 'NC,Raleigh,27607,Cvs Store #10863']
NC    2022-04-20 05-27  +5        ['NC,Cary,27519,Cvs Store #08417', 'NC,Durham,27712,Cvs Store #04290', 'NC,Durham,27713,Cvs Store #07042', 'NC,Garner,27529,White Oak Pharmacy Llc', 'NC,Raleigh,27607,Cvs Store #10863']
NC    2022-04-20 05-27  -2        ['NC,New Bern,28560,Merci Clinic', 'NC,New Bern,28562,Realo Drugs Craven']
NC    2022-04-21 05-29  +12       ['NC,Angier,27501,Walgreens Store #16135', 'NC,Burgaw,28425,Walgreens Store #16158', 'NC,Charlotte,28273,Cvs Store #17215', 'NC,Charlotte,28277,Cvs Store #16466', 'NC,China Grove,28023,Walgreens Store #17880', 'NC,Fayetteville,28304,Cape Fear Valley Medical Center', 'NC,Fuquay Varina,27526,Walgreens Store #07170', 'NC,Gastonia,28052,Walgreens Store #19342', 'NC,Greensboro,27410,Walmart Pharmacy #1498', 'NC,New Bern,28562,Realo Drugs Craven', 'NC,Ramseur,27316,Walgreens Store #16131', 'NC,Wilson,27893,Walmart Pharmacy #4545']
NC    2022-04-21 05-29  -13       ['NC,Benson,27504,Benson Health', 'NC,Burlington,27215,Neil Medical Group Burlington', 'NC,Charlotte,28217,Cvs Store #03526', 'NC,Clayton,27520,Windsor Point Pharmacy', 'NC,Kinston,28504,Neil Medical Group Kinston', 'NC,Laurinburg,28352,Walgreens Store #15648', 'NC,Liberty,27298,Cvs Store #05377', 'NC,Mooresville,28115,Neil Medical Group Mooresville', 'NC,Ocracoke,27960,Ocracoke Health Center Inc', 'NC,Raleigh,27612,Walgreens Store #19403', 'NC,Sunset Beach,28468,Walgreens Store #07749', 'NC,Taylorsville,28681,Peoples Drug Store', 'NC,Wilmington,28401,Novant Health Nhrmc Outpatient']
NC    2022-04-22 05-26  +4        ['NC,Burlington,27215,Neil Medical Group Burlington', 'NC,Kinston,28504,Neil Medical Group Kinston', 'NC,Mooresville,28115,Neil Medical Group Mooresville', 'NC,Rocky Mount,27804,Cvs Store #03973']
NC    2022-04-22 05-26  -2        ['NC,Dallas,28034,Cvs Store #06406', 'NC,Oxford,27565,Cvs Store #03985']
NC    2022-04-23 05-25  +14       ['NC,Asheville,28806,Walgreens Store #16102', 'NC,Ayden,28513,Walgreens Store #16154', 'NC,Charlotte,28207,Walgreens Store #19654', 'NC,Charlotte,28227,Walmart Pharmacy #1821', 'NC,China Grove,28023,Price Pharmacy Inc', 'NC,Conover,28613,Walgreens Store #15568', 'NC,Fayetteville,28304,Walgreens Store #19644', 'NC,Huntersville,28078,Walmart Pharmacy #5879', 'NC,Morganton,28655,Walgreens Store #19002', 'NC,Raleigh,27612,Raleigh Adult Medicine', 'NC,Salisbury,28144,Walgreens Store #07278', 'NC,Sparta,28675,Walgreens Store #16133', 'NC,Sunset Beach,28468,Walgreens Store #07749', 'NC,Winterville,28590,Walgreens Store #12046']
NC    2022-04-23 05-25  -7        ['NC,Asheville,28804,Walgreens Store #09458', 'NC,Cameron,28326,Cvs Store #10157', 'NC,Charlotte,28210,Walgreens Store #18053', 'NC,Fuquay Varina,27526,Walgreens Store #07170', 'NC,Morganton,28655,Stout Scripts Dba Table Rock Pharma', 'NC,Troy,27371,Cvs Store #07547', 'NC,Winston-Salem,27106,Cvs Store #03518']
NC    2022-04-24 05-22  -16       ['NC,Asheville,28804,Range Urgent Care', 'NC,Asheville,28804,Range Urgent Care - Black Mountain', 'NC,Avon,27915,Outer Banks Family Medicine Avon', 'NC,Beaufort,28516,Realo Discount Drugs- 1897 Live Oak', 'NC,Black Mountain,28711,Healthridge Pharmacy', 'NC,Chapel Hill,27516,501 Pharmacy', 'NC,Charlotte,28262,Davids Pharmacy', 'NC,Fairview,28730,Americare Pharmacy Consultants', 'NC,Henderson,27536,Mast Family Drug Center', 'NC,Hickory,28601,Medical Center Pharmacy Inc', 'NC,Kinston,28501,Kinston Clinic Pharmacy', 'NC,Lumberton,28358,Lumberton Health Center Pharmacy', 'NC,Marshall,28753,Madison County Health Department', 'NC,Mt Olive,28365,Parker Drug Company', 'NC,Raleigh,27615,Health Park Pharmacy', 'NC,Wilmington,28401,Promina Health Pc']
NC    2022-04-25 05-22  +1        ['NC,Durham,27710,Duke Childrens Outpatient Pharmacy']
