provider_name,address1,address2,city,state,zip,last_report_date,public_website,phone_number,geopoint
DOTHOUSE HLTH,1353 Dorchester Ave,,Dorchester,MA,02122,2022-07-14T00:00:00.000,http://www.dorchesterhouse.org,617-288-3230,POINT (-71.05945 42.30444)
ISLAND HLTH CARE,245 Edgartown Vineyard Haven Road,,Edgartown,MA,02539,2022-06-24T00:00:00.000,,508-627-5797 x110,POINT (-70.530032 41.3955)
CVS Store #00207,1620 PRESIDENT AVENUE,CVS Pharmacy,Fall River,MA,02720,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-71.12545 41.71175)
HLTHFIRST FAM CARE CTR INC,387 QUARRY ST STE 100,,Fall River,MA,02723,2022-07-05T00:00:00.000,http://www.healthfirstfr.org,774-627-1205,POINT (-71.140325 41.693355)
CVS Store #00929,"272 EAST CENTRAL STREET, ROUTE 140",CVS Pharmacy,Franklin,MA,02038,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-71.38495 42.0797)
CVS Store #01094,137 FEDERAL STREET,CVS Pharmacy,Greenfield,MA,01301,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-72.59723 42.59218)
CVS Store #01945,207 ROCKLAND ST.,CVS Pharmacy,Hanover,MA,02339,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-70.82011 42.11388)
66th Medical Group,90 Vandenberg Dr,Bldg 1900,Hanscom Afb,MA,01731,,,,POINT (-71.28279 42.45784)
HOLYOKE HEALTH CENTER INC,230 Maple Street,Pharmacy,Holyoke,MA,01040,2022-07-12T00:00:00.000,http://www.hhcinc.org,413-420-2111,POINT (-72.608175 42.207115)
CVS Store #01179,234 WASHINGTON ST,CVS Pharmacy,Hudson,MA,01749,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-71.56564 42.38025)
HARBOR COMMUNITY HEALTH CEN HYANNIS,735 Attucks Lane,,Hyannis,MA,02601,2022-07-15T00:00:00.000,http://www.hhsi.us,508-778-0300,POINT (-70.2977 41.67474)
CVS Store #00634,189 SUMMER STREET,CVS Pharmacy,Kingston,MA,02364,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-70.731945 42.012315)
GREATER LAWRENCE FAM HLTH,34 HAVERHILL STREET,attn PHARMACY,Lawrence,MA,01841,2022-07-15T00:00:00.000,http://www.glfhc.org,978-686-0090,POINT (-71.15203 42.71182)
CVS Store #00507,246 MILL ST.,CVS Pharmacy,Leominster,MA,01453,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-71.74417 42.533615)
LYNN COMMUNITY HEALTH CENTER,269 Union St,,Lynn,MA,01901,2022-07-14T00:00:00.000,http://lchcnet.org/aboutus/,781-581-3900,POINT (-70.94377 42.465035)
CVS Store #02401,1880 OCEAN STREET,CVS Pharmacy,Marshfield,MA,02050,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-70.70453 42.09251)
CVS Store #00973,105 MAIN ST.,CVS Pharmacy,Maynard,MA,01754,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-71.45447 42.43227)
CVS Store #01238,555 MAIN STREET,CVS Pharmacy,Medfield,MA,02052,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-71.30921 42.18615)
CVS Store #01010,85 HIGH STREET,CVS Pharmacy,Medford,MA,02155,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-71.1122 42.41911)
CVS Store #01852,67D MAIN ST.,CVS Pharmacy,Medway,MA,02053,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-71.40714 42.15189)
CVS Store #02125,137 WEST CENTRAL STREET,CVS Pharmacy,Natick,MA,01760,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-71.37511 42.28313)
CVS Store #06505,978 BOYLSTON ST.,CVS Pharmacy,Newton,MA,02461,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-71.211337 42.3182)
CVS Store #00938,8 EAST WASHINGTON STREET,CVS Pharmacy,North Attleborough,MA,02760,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-71.338325 41.96746)
CVS Store #02172,104 WORCESTER ST,CVS Pharmacy,North Grafton,MA,01536,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-71.698035 42.220385)
CVS Store #00447,366 KING ST.,CVS Pharmacy,Northampton,MA,01060,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-72.637525 42.33653)
CVS Store #00704,24 WEST MAIN STREET,CVS Pharmacy,Northborough,MA,01532,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-71.64296 42.320365)
CVS Store #01877,35 W. MAIN ST.,CVS Pharmacy,Norton,MA,02766,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-71.190855 41.965215)
CVS Store #00969,1001 THORNDIKE ST.,CVS Pharmacy,Palmer,MA,01069,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-72.32917 42.15746)
CVS Store #02138,8 PILGRIM HILL ROAD,CVS Pharmacy,Plymouth,MA,02360,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-70.68759 41.95106)
CVS Store #00137,"626 SOUTHERN ARTERY, RTE 3A",CVS Pharmacy,Quincy,MA,02169,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-70.9878 42.25277)
CVS Store #00335,266 NEW STATE HWY,CVS Pharmacy,Raynham,MA,02767,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-71.05639 41.90568)
CVS Store #00281,80 MARKET STREET,CVS Pharmacy,Rockland,MA,02370,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-70.91716 42.12098)
CVS Store #07109,300 CANAL STREET,CVS Pharmacy,Salem,MA,01970,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-70.89659 42.50098)
CVS Store #00394,1479 NEWMAN AVE.,CVS Pharmacy,Seekonk,MA,02771,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-71.33205 41.88827)
CARING HC MAIN STREET CLINIC,1049 Main St,,Springfield,MA,01103,2022-07-14T00:00:00.000,http://www.caringhealth.org,413-739-1100,POINT (-72.58453 42.09951)
CVS Store #02325,1025 CENTRAL STREET,CVS Pharmacy,Stoughton,MA,02072,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-71.10275 42.13592)
CVS Store #00730,"501 BOSTON POST RD, RTE 20",SUDBURY PLZ,Sudbury,MA,01776,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-71.42609 42.35992)
CVS Store #06466,2340 GAR HIGHWAY,CVS Pharmacy,Swansea,MA,02777,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-71.26245 41.7678)
CVS Store #00041,"284 WINTHROP ST, TAUNTON PLZ",CVS Pharmacy,Taunton,MA,02780,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-71.12065 41.88886)
CVS Store #00217,"1900 MAIN ST,",CVS Pharmacy,Tewksbury,MA,01876,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-71.20226 42.59099)
CVS Store #00946,323 N. MAIN ST.,CVS Pharmacy,Uxbridge,MA,01569,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-71.642215 42.09068)
CVS Store #01018,189 WATERTOWN STREET,CVS Pharmacy,Watertown,MA,02472,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-71.19327 42.36229)
CVS Store #08437,188 LINDEN ST.,CVS Pharmacy,Wellesley,MA,02482,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-71.29284 42.30133)
CVS Store #00957,928 RIVERDALE ST.,CVS Pharmacy,West Springfield,MA,01089,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-72.62733 42.129195)
CVS Store #01121,174 LITTLETON RD,WESTFORD MARKETPLACE,Westford,MA,01886,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-71.421945 42.5665)
CVS Store #07140,599 STATE RD.,CVS Pharmacy,Westport,MA,02790,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-71.08384 41.66)
CVS Store #02600,1515 COMMERCIAL ST.,CVS Pharmacy,Weymouth,MA,02189,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-70.92182 42.2157)
CVS Store #01845,222 MAIN ST.,CVS Pharmacy,Wilmington,MA,01887,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-71.18075 42.5566)
CVS Store #00299,44 W. BOYLSTON ST.,CVS Pharmacy,Worcester,MA,01605,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-71.80716 42.2888)
EDWARD M KENNEDY COMM HLTH CTR,19 Tacoma St,,Worcester,MA,01605,2022-06-14T00:00:00.000,http://www.kennedychc.org,508-852-1805,POINT (-71.766125 42.3023)
CVS STORE #02775,2601 RIVA RD.,CVS Pharmacy,Annapolis,MD,21401,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-76.55602 38.975565)
CVS STORE #17345,1911 TOWNE CENTRE BLVD,CVS Pharmacy,Annapolis,MD,21401,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-76.54174 38.98057)
UMMC - BCC Field House,300 W. Preston Street,,Baltimore,MD,21201,2022-07-14T00:00:00.000,,,POINT (-76.62307 39.30223)
CVS STORE #07952,630 EXETER ST.,CVS Pharmacy,Baltimore,MD,21202,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-76.60043 39.28384)
HLTH CARE HOMELESS - 421 FALLSWAY,421 Fallsway,Attn: Catherine Fowler/Medical,Baltimore,MD,21202,2022-07-14T00:00:00.000,http://www.hchmd.org,410-837-5533,POINT (-76.60934 39.2938)
CVS STORE #04438,6635-37 BELAIR RD,CVS Pharmacy,Baltimore,MD,21206,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-76.53066 39.35465)
BALTIMORE MED SYSTEM INC,3501 Sinclair Ln,,Baltimore,MD,21213,2022-06-30T00:00:00.000,http://www.bmsi.org,410-558-4975,POINT (-76.56842 39.31303)
ExpressCare of Sinai,2400 Clyburn Ave,Suite A,Baltimore,MD,21215,2022-07-14T00:00:00.000,,,POINT (-76.65962 39.35102)
PARK WEST MEDICAL CENTER BELVEDERE,3319 W. Belvedere Avenue,,Baltimore,MD,21215,2022-07-14T00:00:00.000,,410-542-7800 x7305,POINT (-76.67593 39.348992)
ExpressCare of Essex,1354 EASTERN BLVD,,Baltimore,MD,21221,2022-07-14T00:00:00.000,,,POINT (-76.46092 39.3167)
CVS STORE #17663,3559 BOSTON ST,CVS Pharmacy,Baltimore,MD,21224,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-76.56702 39.27696)
BALTIMORE HIGHLANDS PHARMACY,4109 ANNAPOLIS RD,,Baltimore,MD,21227,2022-07-15T00:00:00.000,,,POINT (-76.64053 39.23771)
ExpressCare of Wilkens,3815 WILKENS AVE,,Baltimore,MD,21229,2022-07-14T00:00:00.000,,,POINT (-76.683415 39.269445)
Expresscare Of Overlea,7700 BELAIR RD,,Baltimore,MD,21236,2022-07-15T00:00:00.000,,,POINT (-76.5174 39.36725)
FRANKLIN SQUARE HOSPITAL CENTER,9000 FRANKLIN SQ DR,Main Pharmacy Attn Tim West,Baltimore,MD,21237,2022-07-17T00:00:00.000,,,POINT (-76.48245 39.34808)
CVS STORE #16391,580 MARKETPLACE DR,CVS Pharmacy,Bel Air,MD,21014,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-76.350495 39.52559)
Childrens Urgent Care,615 Belair Road,,Bel Air,MD,21014,2022-07-14T00:00:00.000,,,POINT (-76.35626 39.52429)
Expresscare Of Bel Air,1505 E Churchville Road,,Bel Air,MD,21014,2022-07-14T00:00:00.000,,,POINT (-76.30535 39.53403)
Expresscare At The Festival,5 BEL AIR SOUTH PKWY,STE 1535,Bel Air,MD,21015,2022-07-14T00:00:00.000,,,POINT (-76.32725 39.49518)
CVS STORE #01831,7809 WISCONSIN AVE,CVS Pharmacy,Bethesda,MD,20814,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-77.09494 38.98891)
Walter Reed National Naval Medical,8901 Wisconsin Avenue,Bldg 54,Bethesda,MD,20889,2022-05-27T00:00:00.000,,,POINT (-77.09153 38.99932)
ExpressCare of Bowie,6000 LAUREL BOWIE ROAD,,Bowie,MD,20715,2022-07-14T00:00:00.000,,,POINT (-76.7562 38.97129)
ExpressCare of Brooklyn Park,5400 RITCHIE HWY,,Brooklyn Park,MD,21225,2022-07-14T00:00:00.000,,,POINT (-76.61437 39.22103)
PETRO HEALTH LLC,724 MAIDEN CHOICE LANE #304,,Catonsville,MD,21228,2022-07-14T00:00:00.000,,,POINT (-76.70559 39.267685)
CVS STORE #00244,115 S. PINEY RD.,CVS Pharmacy,Chester,MD,21619,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-76.26994 38.97376)
Capitol Medical Group,8401 CONNECTICUT AVENUE,SUITE 201,Chevy Chase,MD,20815,2022-07-15T00:00:00.000,,,POINT (-77.07615 38.99442)
CVS STORE #16612,9901 YORK RD,CVS Pharmacy,Cockeysville,MD,21030,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-76.63401 39.46177)
Expresscare Of Padonia,9832 YORK RD,STE 1F,Cockeysville,MD,21030,2022-07-14T00:00:00.000,,,POINT (-76.63508 39.45993)
CVS STORE #06765,2003 DAVIDSONVILLE RD.,CVS Pharmacy,Crofton,MD,21114,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-76.69362 39.01863)
Advanced Medical Care,South Cumberland Marketplace #17,1050 Industrial Blvd,Cumberland,MD,21502,2022-07-15T00:00:00.000,,,POINT (-78.75106 39.63119)
ExpressCare Of Dundalk,1307 MERRITT BLVD,,Dundalk,MD,21222,2022-07-14T00:00:00.000,,,POINT (-76.50448 39.27979)
ExpressCare of North Point,4009 N POINT BLVD,,Dundalk,MD,21222,2022-07-15T00:00:00.000,,,POINT (-76.470546 39.270251)
CVS STORE #01881,"10095 WARD RD, DUNKIRK MARKETPLACE",CVS Pharmacy,Dunkirk,MD,20754,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-76.65947 38.71833)
CVS STORE #02033,3025 SOLOMONS ISLAND RD.,CVS Pharmacy,Edgewater,MD,21037,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-76.55985 38.94384)
CVS STORE #05707,6040 SYKESVILLE RD,CVS Pharmacy,Eldersburg,MD,21784,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-76.95078 39.40924)
ExpressCare of Eldersburg,1311 LONDONTOWN BLVD,STE 130,Eldersburg,MD,21784,2022-07-14T00:00:00.000,,,POINT (-76.949609 39.40799)
CVS STORE #01909,6480 OLD WATERLOO RD,CVS Pharmacy,Elkridge,MD,21075,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-76.7942 39.19257)
CVS STORE #02043,3300A CENTENNIAL LANE,CVS Pharmacy,Ellicott City,MD,21042,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-76.86162 39.2788)
"RIGHTPLACE FAMILY CLINIC, LLC",5114 DORSEY HALL DR,Suite A,Ellicott City,MD,21042,2022-07-15T00:00:00.000,,,POINT (-76.83423 39.24521)
CVS STORE #16427,4390 MONTGOMERY RD,CVS Pharmacy,Ellicott City,MD,21043,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-76.81728 39.24996)
ExpressCare of Forest Hill,2006 ROCK SPRING RD,,Forest Hill,MD,21050,2022-07-14T00:00:00.000,,,POINT (-76.38465 39.57223)
Kimbrough Ambulatory Care Center,"Bldg 2484, 85 Medical Battalion Ave",,Fort Meade,MD,20755,,,,POINT (-76.72845 39.09611)
CVS STORE #02335,8032 C LIBERTY ROAD,CVS Pharmacy,Frederick,MD,21701,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-77.39858 39.44481)
USAMMA DOC,693 NEIMAN STREET,,Frederick,MD,21702,,,,POINT (-77.42404 39.43626)
CVS STORE #04650,300 BALLENGER CENTER DR.,CVS Pharmacy,Frederick,MD,21703,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-77.43702 39.39534)
CVS STORE #10203,3350 WORTHINGTON BLVD.,CVS Pharmacy,Frederick,MD,21704,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-77.34464 39.32648)
UPMC Outpatient Center,10701 New Georges Creek Rd,Suite 4,Frostburg,MD,21532,2022-07-14T00:00:00.000,,,POINT (-78.91255 39.64837)
CVS STORE #07139,8197 WESTSIDE BLVD.,CVS Pharmacy,Fulton,MD,20759,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-76.90884 39.14823)
CVS STORE #01490,546 NORTH FREDERICK AVENUE,CVS Pharmacy,Gaithersburg,MD,20877,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-77.20957 39.14798)
CVS STORE #01452,12215 DARNESTOWN ROAD,CVS Pharmacy,Gaithersburg,MD,20878,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-77.25395 39.11904)
ExpressCare of Gambrills,885 MD ROUTE 3 N,,Gambrills,MD,21054,2022-07-14T00:00:00.000,,,POINT (-76.67006 39.04163)
FIRST CALL MEDICAL CENTER GAMBRILLS,1071 State Route 3 N,Suite 101,Gambrills,MD,21054,2022-07-15T00:00:00.000,,,POINT (-76.69365 39.02249)
CVS STORE #05706,7095 BALTIMORE ANNAPOLIS RD.,CVS Pharmacy,Glen Burnie,MD,21061,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-76.64129 39.20056)
JAI PHARMACY,1810 Crain Hway S,Unit B,Glen Burnie,MD,21061,2022-07-09T00:00:00.000,,,POINT (-76.63298 39.14107)
DEMMYS PHARMACY,5510 CHERRYWOOD LN,,Greenbelt,MD,20770,2022-07-09T00:00:00.000,,,POINT (-76.912085 38.99879)
CVS STORE #01435,1503 POTOMAC AVE.,CVS Pharmacy,Hagerstown,MD,21742,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-77.70164 39.66131)
MERITUS MEDICAL CENTER,11116 MEDICAL CAMPUS ROAD,ATTN: INPATIENT PHARMACY,Hagerstown,MD,21742,2022-07-14T00:00:00.000,,,POINT (-77.685675 39.62259)
ExpressCare of Hampstead,2327 HANOVER PIKE,,Hampstead,MD,21074,2022-07-14T00:00:00.000,,,POINT (-76.86726 39.63934)
11th Medical Group - JB Andrews,1060 West Perimeter Road,Bldg 1060,Jb Andrews,MD,20762,,,,POINT (-76.89565 38.80924)
CVS STORE #01434,7939 NEW HAMPSHIRE AVENUE,CVS Pharmacy,Langley Park,MD,20783,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-76.98606 38.98949)
ExpressCare of Largo,10416 CAMPUS WAY S,,Largo,MD,20774,2022-07-14T00:00:00.000,,,POINT (-76.82352 38.89532)
ICARE HEALTH SERVICES,14502 GREENVIEW DR Suite 108,,Laurel,MD,20708,2022-07-14T00:00:00.000,,,POINT (-76.84439 39.08863)
CVS STORE #01515,26020 POINT LOOKOUT RD.,CVS Pharmacy,Leonardtown,MD,20650,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-76.65761 38.30542)
ST MARYS COUNTY HEALTH DEPARTMENT,21580 Peabody St,,Leonardtown,MD,20659,2022-07-13T00:00:00.000,,,POINT (-76.637195 38.29942)
ExpressCare of Middle River,1470 MARTIN BLVD,,Middle River,MD,21220,2022-07-15T00:00:00.000,,,POINT (-76.441256 39.333455)
CVS STORE #05733,8124 VETERANS HWY,CVS Pharmacy,Millersville,MD,21108,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-76.63507 39.11716)
TOSEG MEDICAL CENTER,"19650 Club house Rd, Suite  104A",,Montgomery Villiage,MD,20886,2022-07-12T00:00:00.000,,,POINT (-77.206945 39.173645)
ExpressCare of Mount Airy,504 E RIDGEVILLE BLVD,,Mount Airy,MD,21771,2022-07-15T00:00:00.000,,,POINT (-77.16122 39.36222)
CVS STORE #01448,8201 ANNAPOLIS RD.,CVS Pharmacy,New Carrollton,MD,20784,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-76.87246 38.95508)
CVS STORE #02956,5414 ROTARY AVE.,CVS Pharmacy,New Market,MD,21774,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-77.25502 39.38202)
CVS STORE #16390,5230 CAMPBELL BLVD,CVS Pharmacy,Nottingham,MD,21236,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-76.451595 39.371125)
CVS STORE #01431,3110 OLNEY SANDY SPRING RD.,CVS Pharmacy,Olney,MD,20832,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-77.06355 39.15084)
Expresscare Of Owings Mills,10490 OWINGS MILLS BLVD,,Owings Mills,MD,21117,2022-07-15T00:00:00.000,,,POINT (-76.77862 39.4217)
ExpressCare of Parkville,7701 Harford Road,,Parkville,MD,21234,2022-07-14T00:00:00.000,,,POINT (-76.547335 39.3744)
CVS STORE #04017,28 MAGOTHY BEACH RD.,CVS Pharmacy,Pasadena,MD,21122,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-76.51786 39.11974)
NHC Patuxent River MD,47149 Buse road,,Patuxent River,MD,20670,,,,POINT (-76.45849 38.27564)
ExpressCare of Northwest,8600 LIBERTY RD,,Randallstown,MD,21133,2022-07-15T00:00:00.000,,,POINT (-76.77868 39.36169)
CVS STORE #00169,799 ROCKVILLE PIKE,CVS Pharmacy,Rockville,MD,20852,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-77.14059 39.07653)
CVS STORE #01449,7955 TUCKERMAN LANE,CVS Pharmacy,Rockville,MD,20854,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-77.15754 39.04118)
MedStar Pharmacy Franklin Square,9000 Franklin Square Drive,Attn: Outpatient Retail Pharmacy,Rosedale,MD,21237,2022-07-16T00:00:00.000,,,POINT (-76.48106 39.351635)
ExpressCare of Salisbury,659 S SALISBURY BLVD,STE 2,Salisbury,MD,21801,2022-07-15T00:00:00.000,,,POINT (-75.59911 38.35817)
ExpressCare of Severna Park,153 RITCHIE HWY,,Severna Park,MD,21146,2022-07-15T00:00:00.000,,,POINT (-76.5637 39.09999)
CVS STORE #16502,12000 CHERRY HILL RD,CVS Pharmacy,Silver Spring,MD,20904,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-76.95709 39.05142)
CVS STORE #01459,12359 GEORGIA AVENUE,CVS Pharmacy,Silver Spring,MD,20906,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-77.04987 39.06044)
CVS STORE #01492,9520 GEORGIA AVENUE,CVS Pharmacy,Silver Spring,MD,20910,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-77.04201 39.01074)
CVS STORE #02216,1001 YORK RD.,CVS Pharmacy,Towson,MD,21204,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-76.60861 39.41042)
CVS STORE #16506,1238 PUTTY HILL AVE,CVS Pharmacy,Towson,MD,21286,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-76.58336 39.39381)
Childrens Urgent Care Towson,1641 E Joppa Road,,Towson,MD,21286,2022-07-14T00:00:00.000,,,POINT (-76.56354 39.396785)
ExpressCare of Loch Raven,8000 Loch Raven Blvd,,Towson,MD,21286,2022-07-15T00:00:00.000,,,POINT (-76.576895 39.385725)
CVS STORE #01470,7600 SE CRAIN HIGHWAY,CVS Pharmacy,Upper Marlboro,MD,20772,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-76.79397 38.78398)
CVS STORE #01330,275 BALTIMORE BLVD,CVS Pharmacy,Westminster,MD,21157,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-76.98587 39.57511)
Childrens Urgent Care of Westminste,265 BALTIMORE BLVD,STE 1,Westminster,MD,21157,2022-07-14T00:00:00.000,,,POINT (-76.9862 39.576)
Expresscare Of Westminster,1011 Baltimore Blvd,,Westminster,MD,21157,2022-07-14T00:00:00.000,,,POINT (-76.96174 39.555895)
CVS STORE #01796,4200 ALTAMONT PL.,CVS Pharmacy,White Plains,MD,20695,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-76.93873 38.59653)
NL EASTERN MAINE MEDICAL CENTER,489 State st,,Bangor,ME,04401,2022-07-11T00:00:00.000,,207-204-8551,POINT (-68.75085 44.80856)
PENOBSCOT COMMUNITY HLTH CENTER,"1012 Union St, Suite 1",,Bangor,ME,04401,2022-07-17T00:00:00.000,,207-945-5247,POINT (-68.808915 44.814805)
ST JOSEPH HOSPITAL,360 BROADWAY,,Bangor,ME,04401,2022-07-14T00:00:00.000,,207-907-1567,POINT (-68.77232 44.81432)
BELGRADE REGIONAL HEALTH CENTER,4 Clement Way,,Belgrade,ME,04917,2022-07-14T00:00:00.000,http://www.healthreachchc.org,207-495-3323,POINT (-69.86645 44.5035)
LHS URGENT CARE,6 St. Andrews Lane,,Boothbay Harbor,ME,04538,2022-07-14T00:00:00.000,,,POINT (-69.63878 43.85042)
CONVENIENTMD BRUNSWICK,193 BATH RD,,Brunswick,ME,04011,2022-07-12T00:00:00.000,,207-424-2272,POINT (-69.90892 43.90944)
BUCKSPORT REGIONAL HLTH CTR,110 Broadway,,Bucksport,ME,04416,2022-07-14T00:00:00.000,http://www.brhc.info,207-469-7371,POINT (-68.78036 44.57621)
LINCOLNHEALTH,35 MILES STREET,PHARMACY DEPARTMENT,Damariscotta,ME,04543,2022-07-14T00:00:00.000,,,POINT (-69.53065 44.02618)
EASTPORT HLTH CARE INC,30 Boynton St,,Eastport,ME,04631,2022-07-05T00:00:00.000,http://www.eastporthealth.org,207-853-6001,POINT (-66.988525 44.905347)
BOLDUC AVENUE HEALTH CENTER,12 Bolduc Avenue,,Fort Kent,ME,04743,2022-07-15T00:00:00.000,http://www.frrh.org,207-834-3971,POINT (-68.59005 47.2651)
Northern Maine Medical Center,194 E Main Street,,Fort Kent,ME,04743,2022-07-17T00:00:00.000,,207-834-1390,POINT (-68.59148 47.26467)
HARRINGTON FAM HLTH CTR,50 E Main Street,,Harrington,ME,04643,2022-07-15T00:00:00.000,http://www.harringtonfamilyhealth.org,207-483-4502,POINT (-67.79621 44.622)
HLTH ACCESS NETWORK LINCOLN,175 W Broadway,,Lincoln,ME,04457,2022-07-12T00:00:00.000,,207-794-6700,POINT (-68.52218 45.36057)
STEPHENS MEMORIAL HOSPITAL,181 MAIN STREET,INPATIENT PHARMACY,Norway,ME,04268,2022-07-12T00:00:00.000,,207-393-3200,POINT (-70.53232 44.209815)
KATAHDIN VALLEY HLTH CTR PATTEN,529 South Patten Road,,Patten,ME,04765,2022-07-15T00:00:00.000,http://www.kvhc.org,207-538-3700,POINT (-68.45197 45.95983)
CVS Store #00329,111 AUBURN ST.,CVS Pharmacy,Portland,ME,04103,2022-07-15T00:00:00.000,https://www.cvs.com/coronavirus,,POINT (-70.28876 43.704)
